#####################################################################
# Alchemist log file - simulation started at: 2024-11-05T15:56+0000 #
#####################################################################
#
# seed = 0.0, walking_speed = 1.4
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1337332612453288E-4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.0001133733261245 0.00175 0.809 0.0486 0.00175 0.989 0.517 1.00 9.00 4.20 0.00 15.0 6.76
2.0001133733261254 0.00175 0.293 0.0137 0.00175 0.989 0.517 1.00 7.00 4.05 4.00 26.0 13.3
3.0001133733261263 0.00175 0.0464 0.00854 0.00175 0.989 0.517 1.00 8.00 4.13 4.00 23.0 13.0
4.000113373326127 0.00175 0.167 0.00973 0.00175 0.989 0.517 1.00 8.00 4.26 4.00 23.0 12.6
5.000113373326124 0.00175 0.0218 0.00215 0.00175 0.989 0.517 1.00 9.00 4.67 4.00 19.0 12.2
6.00011337332612 0.00175 0.00175 0.00175 0.00175 0.989 0.517 1.00 9.00 4.70 3.00 22.0 12.1
7.0001133733261165 0.00175 0.00175 0.00175 0.00175 0.989 0.517 1.00 8.00 4.71 3.00 21.0 11.9
8.000113373326114 0.00175 0.00175 0.00175 0.00175 0.989 0.517 1.00 9.00 4.71 1.00 21.0 11.9
9.00011337332611 0.00175 0.906 0.00628 0.00175 0.989 0.517 1.00 9.00 4.75 0.00 20.0 12.0
10.000113373326107 0.00175 0.906 0.00628 0.00175 0.989 0.517 1.00 9.00 4.78 0.00 22.0 12.0
11.000113373326103 0.00175 0.906 0.00628 0.00175 0.989 0.517 1.00 9.00 4.75 0.00 23.0 11.9
12.0001133733261 0.00175 0.00175 0.00175 0.00175 0.989 0.517 1.00 9.00 4.83 1.00 22.0 11.8
13.000113373326096 0.00175 0.440 0.00542 0.00175 0.989 0.517 1.00 9.00 4.83 1.00 23.0 11.8
14.000113373326093 0.00175 0.296 0.00764 0.00175 0.989 0.517 1.00 9.00 4.84 1.00 23.0 11.7
15.000113373326089 0.00175 0.440 0.00865 0.00175 0.989 0.517 1.00 9.00 4.93 0.00 22.0 11.4
16.000113373326087 0.00175 0.440 0.00924 0.00175 0.989 0.517 1.00 9.00 4.97 0.00 20.0 11.2
17.0001133733261 0.00175 0.440 0.00924 0.00175 0.989 0.517 1.00 10.0 4.92 0.00 20.0 11.1
18.000113373326116 0.00175 0.440 0.00924 0.00175 0.989 0.517 1.00 9.00 4.91 0.00 21.0 11.1
19.00011337332613 0.00175 0.440 0.00924 0.00175 0.989 0.517 1.00 10.0 4.98 0.00 22.0 11.0
20.000113373326144 0.00175 0.828 0.0147 0.00175 0.989 0.517 1.00 9.00 5.04 0.00 22.0 11.1
